type_ownership;Nome Edificio;Descrizione Edificio;Indirizzo;address_secondary;Destinazione_uso;id_building;city
EDI;immobile 5146;Fabbricato ancora catastalmente intestato all  AZIENDA U.S.L. BA/5 DI PUTIGNANO. DA VOLTURARE. (Rif. tavola BR);GIOIA DEL COLLE  VIA GIOVANNI XXIII 104;;;2688621;072021
EDI;immobile 5148;Fabbricato di cinque piani fuori terra (Rif. tavola BT). CON DELIBERA GC175 DEL 28/09/2010 CONCESSO IN COMODATO GRATUITO A CORPO FORESTALE ANNI 6;GIOIA DEL COLLE  VIA DANNUNZIO 72;;;2688620;072021
EDI;immobile 5151;Locali da individuare al piano terra del fabbricato della AZIENDA U.S.L. BA/5 DI PUTIGNANO, ceduti al Comune.;GIOIA DEL COLLE  VIA GIOVANNI XXIII 104;;;2688619;072021
EDI;immobile 5152;Fabbricato NON ACCATASTATO.Terreno urbanizzato (EU) di 1.337 mq.(Rif. tavola BJ) - . (Ex scheda 826);GIOIOA DEL COLLE COMUNE DI GIOIA DEL COLLE/SNC;;;2688618;072021
EDI;immobile 5154;FABBRICATO CON TERRENI CIRCOSTANTI - Ultimato di costruire nel 2009, acora da inaugurare ed aprire al pubblico (Rif. tavola AX).;GIOIOA DEL COLLE STR.STAT.171PER SANTERAMO/SNC;;;2688617;072021
EDI;immobile 5163;Di proprietà comunale dal 01/01/1962. Precedente proprietaria :  SCARPETTA Rosa nata a GIOIA DEL COLLE il 01/09/1944.;GIOIA DEL COLLE  PIAZZA PLEBISCITO/SNC;;;2688616;072021
EDI;immobile 5166;EDIFICIO DI NUOVA COSTRUZIONE ACQUISITO IN PROPRIETA E CONCESSO IN CONCESSIONE TRENTENNALE CON CONTRATTO REP.80 DEL 26/06/2009 A PROMOSPORT;GIOIA DEL COLLE  VIA PALMENTULLO/SNC;;;2688615;072021
EDI;immobile 5180;LOVORI DI BONIFICA;LOCALITA GIOIA DEL COLLE SNC;;;2688614;072021
EDI;immobile 5181;FORNITURA E POSA IN OPERA DI TENDE;GIOIA DEL COLLE  PIAZZA M. SAVOIA 4;;;2688613;072021
EDI;immobile 5185;LAVORI DI MANUTENZIONE VARIE SCUOLE E SISTEMAZIONE CENTRALE TERMICA;LOCALITA GIOIA DEL COLLE SNC;;;2688612;072021
EDI;immobile 5196;"DISCARICA STRADA V.LE LAMIE FATALONE 

";LOCALITA GIOIA DEL COLLE SNC;;;2688610;072021
EDI;immobile 5204;"NUOVA STANZA DEL PALAZZO MUNICIPALE PER UFF TRIBUTI E PROVV AGENZIA - PROPRIETA DEL COMUNE E NON DEL DEMANIO
";GIOIA DEL COLLE  VIA SCHIAVONE 34;;;2688608;072021
EDI;immobile 5232;CAMPO DA BASKET IL PALACAPURSO;LOCALITA GIOIA DEL COLLE SNC;;;2688607;072021
EDI;immobile 5308;CENTRO PILOTA PER LA TRASFORMAZIONE DEL SIERO DELLINDUSTRIA CASEARIA AQUISITO CON DECRETO REGIONALE N. 671 DEL 08/10/2014 DELLA SOPPRESSA COMUNITA MONTANA DELIBERA GM N. 11 DEL 20/01/2015;GIOIA DEL COLLE  VIA VECCHIA SAMMICHELE S.N.C.;;;2688605;072021
EDI;immobile 5321;REALIZZAZIONE DEL CENTRO DI RACCOLTA DIFFERENZIATA COMUNALE;GIOIA DEL COLLE;;;2688604;072021
EDI;immobile 5332;LOCALI IN LOCAZIONE PER 6 ANNI DAL 25/06/2014 - NON DI PROPRIETA;GIOIA DEL COLLE  VIA FRATELLI ROSATI;;;2688603;072021
EDI;immobile 6655;Piano  T - IN VENDITA;GIOIA DEL COLLE  VIA GIOBERTI 22;;;2688602;072021
EDI;immobile 6657;ABITAZIONE - Situato al piano 1 - IN VENDITA;GIOIA DEL COLLE  VIA PARRI FERRUCCIO 41;;;2688601;072021
EDI;immobile 6661;ABITAZIONE CIVILE - Situato al piano 1 - IN VENDITA;GIOIA DEL COLLE  VIA DE AMICIS 7;;;2688600;072021
EDI;immobile 6664;Situato al piano 2 - IN VENDITA;GIOIA DEL COLLE  CORSO GARIBALDI 31;;;2688599;072021
EDI;immobile 6665;Situato al piano 2 - IN VENDITA;GIOIA DEL COLLE  CORSO GARIBALDI 31;;;2688598;072021
EDI;immobile 6666;Situato al Piano 2 - IN VENDITA;GIOIA DEL COLLE  CORSO GARIBALDI 31;;;2688597;072021
EDI;immobile 6667;Situato al Piano 2 - IN VENDITA;GIOIA DEL COLLE  CORSO GARIBALDI 31;;;2688596;072021
EDI;immobile 6668;Situato al Piano 2 - IN VENDITA;GIOIA DEL COLLE  CORSO GARIBALDI 31;;;2688595;072021
EDI;immobile 6669;Situato al Piano 1° - IN VENDITA;GIOIA DEL COLLE  VIA MAZZINI GIUSEPPE 59;;;2688594;072021
EDI;immobile 6670;ABITAZIONE CIVILE - Situato al Piano 1° - IN VENDITA;GIOIA DEL COLLE  VIA DE AMICIS 3;;;2688593;072021
EDI;immobile 6691;ABITAZIONE - IMMOBILE IN VENDITA - ERA USATO COME SCUOLA ALLA CONTRADA MARZAGAGLIA - Fabbricato di 105 mq. da accatastare su terreno in uso a LIVELLARIO;GIOIOA DEL COLLE CONTRADA MARZAGAGLIA/SNC;;;2688592;072021
EDI;immobile 6692;ABITAZIONE - IMMOBILE IN VENDITA ALLA CONTRADA CORVELLO - Fabbricato che era usato come scuola.;GIOIOA DEL COLLE CONTRADA CORVELLO/SNC;;;2688591;072021
EDI;immobile 6693;ABITAZIONE - CONTRADA FRA GENNARO - IMMOBILE IN VENDITA. Fabbricato di circa 170 mq. coperti più terreno di 2500 mq.;GIOIA DEL COLLE CONTRADA FRA GENNARO STR. VIC. GIOIA-MATERA/SNC;;;2688590;072021
EDI;immobile 6697;IMMOBILE IN VENDITA ALLA C.DA TOPPE DI MONTURSI - Fabbricato ERA usato come scuola. Area del mappale di 980 mq.;GIOIA DEL COLLE C.DA TOPPE DI MONTURSI Str. Prov. GIOIA LATERZA km 5;;;2688588;072021
EDI;immobile 7100;MAZZINI GIUSEPPE VIA, IN GIOIA DEL COLLE - 59   piano 1 - IN VENDITA;GIOIA DEL COLLE  VIA GIUSEPPE MAZZINI 59;;;2688530;072021
EDI;immobile 7105;"Situato al piano Terra in una Laterale di  via GARIBALDI - Preso in cambio della ""cantinola"" ex scheda B1083 dalla ditta CAMMISA MARIA ANGELA con delibera n° 9 del 21/02/2007.";GIOIA DEL COLLE  VIA FONTANA 8;;;2688529;072021
EDI;immobile 7111;Vedi  CIMITERO SCHEDA MOD.A;GIOIA DEL COLLE  VIA CIMITERO SNC;;;2688528;072021
EDI;immobile 7116;DA VOLTURARE : intestato a ASILO INFANTILE DE DEO.Nello stesso edificio è presente unabitazione (sub.10) (Rif. tavola AJ).;GIOIA DEL COLLE ARCO CIMONE/SNC;;;2688527;072021
EDI;immobile 7117;Situata al primo piano. DA VOLTURARE : intestato a ASILO INFANTILE DE DEO.Nello stesso edificio è presente un magazzino (sub.8)  (Rif. scheda C2226 - tavola AJ).;GIOIA DEL COLLE ARCO CIMONE 32;;;2688526;072021
EDI;immobile 7205;TERRENO della CABINA ENEL (in diritto di superficie) dellImpianto Sportivo di via DELLA FIERA;GIOIA DEL COLLE  VIA DELLA FIERA/SNC;;;2688525;072021
EDI;immobile 9105;Al piano terra di uno degli edifici della Biblioteca. IN LOCAZIONE ALLA SIG.RA RESTA ANNALISA DELLA SOCIETA B&G PER 6 ANNI - ;GIOIA DEL COLLE  CORSO VITTORIO EMANUELE 5;;;2687882;072021
EDI;immobile 9117;FABBRICATO ACQUISITO PER DISPOSIZIONE PROCURA DI BARI;LOCALITA GIOIA DEL COLLE SNC;;;2687874;072021
EDI;immobile 9149;CAPANNONE EX ECO.DEM SRL STRADA PROVINCIALE 235 - ordinanza di confisca perchè abusivo 05/12/2018;GIOIA DEL COLLE  STRADA PROVINCIALE 235;;;2687862;072021
TER;immobile 1;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA ACCORCIATOIO SNC;;;2689498;072021
TER;immobile 10;Forse era chiamata VIA APOLLO, STRADA COMUNALE URBANA;GIOIOA DEL COLLE vico APOLLO SNC;;;2689490;072021
TER;immobile 1001;PARCO BUSCIGLIO - MAN.2003;LOCALITA GIOIA DEL COLLE SNC;;;2688908;072021
TER;immobile 1004;N.C.;GIOIOA DEL COLLE Vie S.VITO MAZZINI VILLAG SNC;;;2688907;072021
TER;immobile 1005;METANODOTTO SFIATO;LOCALITA GIOIA DEL COLLE SNC;;;2688906;072021
TER;immobile 1006;FOGNATURA ZONA INDUSTRIALE;LOCALITA GIOIA DEL COLLE SNC;;;2688905;072021
TER;immobile 1007;ACQUEDOTTO VIA VECCHIA MATERA;LOCALITA GIOIA DEL COLLE SNC;;;2688904;072021
TER;immobile 1008;FOGNATURA VIA IMPISO;LOCALITA GIOIA DEL COLLE SNC;;;2688903;072021
TER;immobile 101;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA DELLA CHIUSA SNC;;;2689401;072021
TER;immobile 1013;ACQUEDOTTO VIA VECCHIA MATERA;LOCALITA GIOIA DEL COLLE SNC;;;2688902;072021
TER;immobile 1014;Raggiungibile dalle vie EINAUDI e DEI PEUCETI (ex via PUTIGNANO).;GIOIA DEL COLLE  PIAZZALE IMPIANTI SPORTIV SNC;;;2688901;072021
TER;immobile 1015;ACQUEDOTTO RURALE;LOCALITA GIOIA DEL COLLE SNC;;;2688900;072021
TER;immobile 1017;FOGNATURA VIA ACQUAVIVA;LOCALITA GIOIA DEL COLLE SNC;;;2688899;072021
TER;immobile 1019;POZZI ARTESIANI;LOCALITA GIOIA DEL COLLE SNC;;;2688898;072021
TER;immobile 1020;PISTE CICLABILI;LOCALITA GIOIA DEL COLLE SNC;;;2688897;072021
TER;immobile 1021;FOGNATURA VIA PUTIGNANO;LOCALITA GIOIA DEL COLLE SNC;;;2688896;072021
TER;immobile 1022;ACQUEDOTTO VIA GIOVANNI XXI;LOCALITA GIOIA DEL COLLE SNC;;;2688895;072021
TER;immobile 1023;FOGNATURA VIA ACQUAVIVA;LOCALITA GIOIA DEL COLLE SNC;;;2688894;072021
TER;immobile 1024;FOGNATURA VIA A. MORO;LOCALITA GIOIA DEL COLLE SNC;;;2688893;072021
TER;immobile 1028;RETE FOGNARIA COMUNALE;LOCALITA GIOIA DEL COLLE SNC;;;2688892;072021
TER;immobile 103;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA DE NICOLA E. SNC;;;2689400;072021
TER;immobile 1032;FONTANA PUBBLICA nella Piazza del Mercato (ufficialmente senza nome?) a lato di via REGINA ELENA.;GIOIA DEL COLLE  PIAZZA MERCATO SNC;;;2688891;072021
TER;immobile 1033;GIARDINETTO PUBBLICO EX-SVIME;GIOIA DEL COLLE  PIAZZA XX SETTEMBRE SNC;;;2688890;072021
TER;immobile 104;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA DEL RE G. SNC;;;2689399;072021
TER;immobile 105;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA DIANA SNC;;;2689398;072021
TER;immobile 1054;GIARDINO COLLE DELLE GIOIE man.2005;LOCALITA GIOIA DEL COLLE SNC;;;2688889;072021
TER;immobile 106;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA DIAZ ARMANDO SNC;;;2689397;072021
TER;immobile 1061;INCARICO AUTOMEZZI ELETTRICI  - MAN.2005;LOCALITA GIOIA DEL COLLE SNC;;;2688888;072021
TER;immobile 1063;DONAZIONE AREA ADIBITA A PARCHEGGIO E STRADA PER CONVENZIONE LOTTIZZAZIONE DI VIA VICINALE IMPISO;GIOIA DEL COLLE  VIA IMPISO SNC;;;2688887;072021
TER;immobile 107;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA DI VITTORIO GIUSEPPE SNC;;;2689396;072021
TER;immobile 1073;"RIVITALIZZ. CULTURA RURALE E AMBIENTALE A MONTURSI
";LOCALITA GIOIA DEL COLLE SNC;;;2688886;072021
TER;immobile 1074;SOTTOPASSO FFSS MAN.2006;LOCALITA GIOIA DEL COLLE SNC;;;2688885;072021
TER;immobile 1075;STELE IN MEMORIA VITTIME ATR42  - MAN.2006;LOCALITA GIOIA DEL COLLE SNC;;;2688884;072021
TER;immobile 108;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA DOGALI SNC;;;2689395;072021
TER;immobile 109;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA DONIZETTI G. SNC;;;2689394;072021
TER;immobile 1097;"FOGNA PLUVIALE VIA BARI E ACQUAVIVAI + PIAZZA STURZO + PIANO SICUREZZA SMALTIMENTO ACQUE METEORICHE 
";LOCALITA GIOIA DEL COLLE SNC;;;2688883;072021
TER;immobile 11;Forse era chiamata VIA ARCOBALENO ARCO, STRADA COMUNALE URBANA;GIOIOA DEL COLLE vico ARCOBALENO SNC;;;2689489;072021
TER;immobile 110;STRADA COMUNALE URBANA;GIOIOA DEL COLLE DONNOLA SNC;;;2689393;072021
TER;immobile 111;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA DORSO G. SNC;;;2689392;072021
TER;immobile 1115;"29161/500/2007 ATTUAZIONE PRU - INDENNITA DI ESPROPRIO (E.491/10-800/83-800/84)-QUOTA PARTE FINANZ.ONERI
";LOCALITA GIOIA DEL COLLE SNC;;;2688882;072021
TER;immobile 112;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA DUCA D`ABRUZZI SNC;;;2689391;072021
TER;immobile 113;STRADA COMUNALE URBANA;GIOIOA DEL COLLE Vico EDILE SNC;;;2689390;072021
TER;immobile 114;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA EINAUDI LUIGI SNC;;;2689389;072021
TER;immobile 115;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA ERAMO L. S. SNC;;;2689388;072021
TER;immobile 116;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA ERCOLE SNC;;;2689387;072021
TER;immobile 117;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA EREMITA SNC;;;2689386;072021
TER;immobile 118;STRADA COMUNALE URBANA - Forse era via ETRUSCO.;GIOIOA DEL COLLE Vico ETRUSCO SNC;;;2689385;072021
TER;immobile 119;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA EVA SNC;;;2689384;072021
TER;immobile 12;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA ARGENTO G. SNC;;;2689488;072021
TER;immobile 120;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA FAGIANO SNC;;;2689383;072021
TER;immobile 1201;"NUOVA STRADA COMUNALE nella ZONA ""167"" di piano regolatore che va dalla Via Di Vittorio alla Via Giulio Pastore (in complet. nel tratto compreso tra lattuale Via Impiso e Via G. Pastore), provvisor. individuata come  IV^ Trav. Prov.le Casamassima.";GIOIA DEL COLLE  VIA A. DE CURTIS (TOTO) SNC;;;2688881;072021
TER;immobile 1202;"NUOVA STRADA COMUNALE nella ZONA ""167"" di piano regolatore che va dalla Via Di Vittorio alla Via Giulio Pastore (provvisoriamente iindividuata come  III^ Trav. Prov.le Casamassima ).";GIOIA DEL COLLE  VIA Federico FELLINI SNC;;;2688880;072021
TER;immobile 1203;"NUOVA STRADA COMUNALE nella ZONA ""167"" di piano regolatore provvisoriamente individuata come V^ Trav. Prov.le Casamassima.";GIOIA DEL COLLE  VIA Sergio LEONE SNC;;;2688879;072021
TER;immobile 1204;"NUOVA STRADA COMUNALE nella ZONA ""167"" di piano regolatore provvisoriamente individuata come Via Impiso, nel tratto compreso tra Via V. De Sica e la bretella Santeramo-Putignano.


";GIOIA DEL COLLE  VIA Anna MAGNANI SNC;;;2688878;072021
TER;immobile 1205;"NUOVA STRADA COMUNALE nella ZONA ""167"" di piano regolatore provvisoriamente individuata come I^ Par.la Est Giulio PASTORE, fino allintersezione con Via F. FELLINI.";GIOIA DEL COLLE  VIA Marcello MASTROIANNI SNC;;;2688877;072021
TER;immobile 1206;"NUOVA STRADA COMUNALE nella ZONA ""167"" di piano regolatore che va dalla Via Di Vittorio alla Via Giulio Pastore, provvisoriamente individuata come  II^ Trav. Prov.le Casamassima.";GIOIA DEL COLLE  VIA Roberto ROSSELLINI SNC;;;2688876;072021
TER;immobile 1207;"NUOVA STRADA COMUNALE nella ZONA ""167"" di piano regolatore che va da Via S. LEONE a Via V. Antonio DE CURTIS (TOTO).";GIOIA DEL COLLE  VIA Vittorio DE SICA SNC;;;2688875;072021
TER;immobile 1208;"NUOVA STRADA COMUNALE nella ZONA ""167"" di piano regolatore tratto di strada dallincrocio di Via SARAGAT allincrocio con Via Umberto Elia TERRACINI.";GIOIA DEL COLLE  VIA dei TRATTATI di ROMA SNC;;;2688874;072021
TER;immobile 1209;"NUOVA PIAZZA COMUNALE nella ZONA ""167"" di piano regolatore tra le Vie Federico FELLINI, Marcello MASTROIANNI e Roberto ROSSELLINI.";GIOIA DEL COLLE  PIAZZA CINECITTA SNC;;;2688873;072021
TER;immobile 121;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA FALCICCHIO P. SNC;;;2689382;072021
TER;immobile 1210;"NUOVA PIAZZA COMUNALE nella ZONA ""167"" di piano regolatore tra le Vie U. E. Terracini, R. Lombardi e Gronchi.";GIOIOA DEL COLLE P.a Papa GIOVANNI PAOLOII SNC;;;2688872;072021
TER;immobile 1211;TERRENO : EX VIGNETO. Area da urbanizzare per strade e parcheggi antistanti allImpianto Sportivo.;GIOIA DEL COLLE  VIA EINAUDI/SNC;;;2688871;072021
TER;immobile 1212;TERRENO : SEMINATIVO. Area da urbanizzare per strade e parcheggi antistanti allImpianto Sportivo.;GIOIA DEL COLLE  VIA EINAUDI/SNC;;;2688870;072021
TER;immobile 1213;TERRENO : EX SEMINATIVO. Area da urbanizzare per strade e parcheggi antistanti allImpianto Sportivo.;GIOIA DEL COLLE  VIA EINAUDI/SNC;;;2688869;072021
TER;immobile 1214;TERRENO : EX SEMINATIVO. Area da urbanizzare per strade e parcheggi antistanti allImpianto Sportivo.;GIOIA DEL COLLE  VIA EINAUDI/SNC;;;2688868;072021
TER;immobile 1215;TERRENO : EX SEMINATIVO ARBORATO. Area da urbanizzare per strade e parcheggi antistanti allImpianto Sportivo.;GIOIA DEL COLLE  VIA EINAUDI/SNC;;;2688867;072021
TER;immobile 1216;TERRENO : EX VIGNETO. Area da urbanizzare per strade e parcheggi antistanti allImpianto Sportivo.;GIOIA DEL COLLE  VIA EINAUDI/SNC;;;2688866;072021
TER;immobile 1217;TERRENO : EX INCOLTO STERILE. Uno dei mappali antistanti allImpianto Sportivo da urbanizzare. Intestato a FIORENTE Francesco Vito nato a GIOIA DEL COLLE il 12/07/1909. Verificare atti di esproprio o cessione per volturarlo a favore del Comune.;GIOIA DEL COLLE  VIA EINAUDI/SNC;;;2688865;072021
TER;immobile 1218;NUOVA STRADA COMUNALE vicino a P.zza C.A. Dalla Chiesa.;GIOIA DEL COLLE  VIA VITTIME DELLA MAFIA SNC;;;2688864;072021
TER;immobile 1219;STRADA VICINALE COMUNALE EXTRAURBANA;GIOIOA DEL COLLE Str. CARRARO CAPODIFERRO SNC;;;2688863;072021
TER;immobile 122;STRADA COMUNALE URBANA;GIOIA DEL COLLE  VIA FANFULLA SNC;;;2689381;072021
TER;immobile 1220;STRADA VICINALE COMUNALE EXTRAURBANA. Denominata più precisamente STRADA VECCHIA VICINALE ACQUAVIVA DELLE FONTI.;GIOIOA DEL COLLE str.ACQUAVIVA DELLE FONTI SNC;;;2688862;072021
TER;immobile 1221;STRADA COMUNALE URBANA vicino a P.zza C.A. DALLA CHIESA;GIOIA DEL COLLE  VIA BARBIERI SNC;;;2688861;072021
TER;immobile 1222;NUOVA PIAZZA COMUNALE nella zona iniziale di via dei Peuceti(ex via Putignano) .;GIOIA DEL COLLE  PIAZZA BERLINGUER SNC;;;2688860;072021
TER;immobile 1224;Piazza del mercato (ufficialmente senza nome?) a lato di via REGINA ELENA.;GIOIA DEL COLLE  PIAZZA MERCATO SNC;;;2688859;072021
